,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
video,40,2.684563758389262,rex,33,2.1696252465483234,dico/2,38,2.5384101536406143,angli/n,21,1.439342015078821,rex,53,3.1985515992757994,venio,39,2.5128865979381443,rex,48,2.8169014084507045,monasterivm,81,4.876580373269115,habeo,27,1.9607843137254901,facio,32,2.038216560509554
corpvs,26,1.74496644295302,facio,29,1.9066403681788298,tempvs/1,30,2.004008016032064,noster,19,1.3022618231665526,tempvs/1,33,1.9915509957754978,domvs,25,1.610824742268041,ecclesia,33,1.936619718309859,christvs/n,28,1.6857314870559903,insvla,20,1.4524328249818446,habeo,30,1.910828025477707
avdio,19,1.2751677852348993,devs,24,1.5779092702169626,monasterivm,29,1.9372077488309953,avgvstine/n1,16,1.0966415352981496,fides/2,28,1.6898008449004225,frater,23,1.4819587628865978,episcopvs,33,1.936619718309859,corpvs,26,1.56532209512342,gens,19,1.3798111837327522,celebro,22,1.4012738853503186
respondeo,19,1.2751677852348993,vervs,21,1.3806706114398422,corpvs,23,1.5364061456245823,gens,15,1.0281014393420151,mitto,24,1.448400724200362,facio,23,1.4819587628865978,venio,30,1.7605633802816902,episcopvs,19,1.1438892233594222,locvs,17,1.2345679012345678,dominvs,21,1.337579617834395
spiritvs,19,1.2751677852348993,ago,14,0.9204470742932281,oratio,23,1.5364061456245823,sanctvs,15,1.0281014393420151,regnvm,24,1.448400724200362,dico/2,22,1.4175257731958764,britannia/n,30,1.7605633802816902,abbatissa,17,1.0234798314268514,omnis,15,1.0893246187363834,dico/2,20,1.2738853503184715
homo,17,1.1409395973154361,tempvs/1,13,0.8547008547008548,virtvs,22,1.4696058784235138,omnis,14,0.9595613433858807,edwin/n2,21,1.2673506336753169,ecclesia,21,1.3530927835051547,tempvs/1,28,1.643192488262911,dico/2,16,0.963275135460566,britannia/n,14,1.016702977487291,seqvor,20,1.2738853503184715
tantvs,14,0.9395973154362416,omnis,13,0.8547008547008548,avdio,19,1.2692050768203071,ecclesia,14,0.9595613433858807,ecclesia,18,1.0863005431502715,habeo,21,1.3530927835051547,christvs/n,24,1.4084507042253522,infirmitas,16,0.963275135460566,scoti/n,14,1.016702977487291,devs,19,1.210191082802548
facio,13,0.87248322147651,regnvm,13,0.8547008547008548,provincia,19,1.2692050768203071,fides/2,14,0.9595613433858807,annvs,18,1.0863005431502715,coepio,19,1.2242268041237114,roma/n,23,1.3497652582159625,refero,15,0.9030704394942807,pars,13,0.944081336238199,dominicvs,18,1.1464968152866242
dvco,13,0.87248322147651,dico/2,12,0.7889546351084813,episcopvs,18,1.2024048096192386,caelestis,14,0.9595613433858807,gens,17,1.0259505129752564,accipio,14,0.902061855670103,monasterivm,22,1.2910798122065728,devs,15,0.9030704394942807,picti/n,13,0.944081336238199,rex,17,1.0828025477707006
tempvs/1,12,0.8053691275167786,volo/3,12,0.7889546351084813,dominvs,18,1.2024048096192386,beatvs,13,0.8910212474297465,angli/n,17,1.0259505129752564,inqvio,14,0.902061855670103,provincia,21,1.232394366197183,svscipio,15,0.9030704394942807,britanni/n,12,0.8714596949891068,doceo,17,1.0828025477707006
dies,11,0.738255033557047,svscipio,12,0.7889546351084813,ecclesia,17,1.1356045424181698,christvs/n,12,0.822481151473612,provincia,17,1.0259505129752564,caelestis,14,0.902061855670103,annvs,19,1.1150234741784038,tempvs/1,14,0.8428657435279951,facio,12,0.8714596949891068,dies,17,1.0828025477707006
mors,11,0.738255033557047,solvs,11,0.7232084155161078,angelvs,17,1.1356045424181698,gratia,11,0.7539410555174777,pavlinvs/n1,16,0.9656004828002415,tantvs,13,0.8376288659793815,pervenio,17,0.9976525821596244,voco,14,0.8428657435279951,fero,12,0.8714596949891068,inqvio,17,1.0828025477707006
invenio,9,0.6040268456375839,verbvm,11,0.7232084155161078,constrvo,16,1.068804275217101,verbvm,10,0.6854009595613434,filivs,13,0.7845503922751962,relinqvo,13,0.8376288659793815,antistes,17,0.9976525821596244,soleo,14,0.8428657435279951,dico/2,11,0.7988380537400145,tempvs/1,16,1.019108280254777
opvs/1,9,0.6040268456375839,primvs,10,0.6574621959237344,dies,15,1.002004008016032,vir,10,0.6854009595613434,facio,12,0.724200362100181,tempvs/1,12,0.7731958762886598,gens,15,0.8802816901408451,ergo/2,14,0.8428657435279951,mare,10,0.7262164124909223,ecclesia,16,1.019108280254777
infirmitas,9,0.6040268456375839,salvs,9,0.591715976331361,terra,13,0.8684034736138945,video,10,0.6854009595613434,baptizo,11,0.663850331925166,nox,12,0.7731958762886598,disco,15,0.8802816901408451,annvs,14,0.8428657435279951,terra,10,0.7262164124909223,cvro,15,0.9554140127388535
nvnc,8,0.5369127516778524,promitto,9,0.591715976331361,ignis,13,0.8684034736138945,corpvs,10,0.6854009595613434,christvs/n,10,0.6035003017501509,pvlvis,12,0.7731958762886598,cognosco,14,0.8215962441314555,svpra/2,14,0.8428657435279951,venio,9,0.6535947712418301,venio,14,0.89171974522293
salvs,8,0.5369127516778524,sedeo,9,0.591715976331361,opvs/1,12,0.8016032064128256,apostolicvs,10,0.6854009595613434,ivxta/1,10,0.6035003017501509,loqvor,12,0.7731958762886598,ordino,14,0.8215962441314555,provincia,13,0.78266104756171,longvs,8,0.5809731299927379,episcopvs,14,0.89171974522293
pervenio,8,0.5369127516778524,christvs/n,8,0.5259697567389875,ivxta/1,12,0.8016032064128256,converto,10,0.6854009595613434,coepio,10,0.6035003017501509,manvs/1,12,0.7731958762886598,ibi,13,0.7629107981220657,video,13,0.78266104756171,septentrionalis,8,0.5809731299927379,ago,14,0.89171974522293
vita,8,0.5369127516778524,venio,8,0.5259697567389875,cvro,11,0.7348029392117569,gregory/n1,9,0.616860863605209,totvs,10,0.6035003017501509,adhvc,11,0.7087628865979382,historia,12,0.7042253521126761,mors,13,0.78266104756171,dies,8,0.5809731299927379,monasterivm,13,0.8280254777070064
vivo,8,0.5369127516778524,vita,8,0.5259697567389875,habeo,11,0.7348029392117569,pontifex,9,0.616860863605209,nihil,10,0.6035003017501509,redeo/1,11,0.7087628865979382,verbvm,12,0.7042253521126761,avdio,11,0.6622516556291391,accipio,8,0.5809731299927379,christvs/n,12,0.7643312101910829
ibi,7,0.4697986577181208,qvondam,8,0.5259697567389875,sicvt/1,11,0.7348029392117569,vita,9,0.616860863605209,verbvm,9,0.5431502715751357,praecipio,11,0.7087628865979382,vervs,12,0.7042253521126761,antistes,11,0.6622516556291391,crvx,8,0.5809731299927379,credo,12,0.7643312101910829
coepio,7,0.4697986577181208,accipio,8,0.5259697567389875,tantvs,11,0.7348029392117569,annvs,9,0.616860863605209,omnis,9,0.5431502715751357,debeo,11,0.7087628865979382,simvl/1,12,0.7042253521126761,pono,11,0.6622516556291391,avdio,7,0.5083514887436456,mos,12,0.7643312101910829
capvt,7,0.4697986577181208,ergo/2,8,0.5259697567389875,saecvlvm,11,0.7348029392117569,dico/2,8,0.5483207676490748,dono,9,0.5431502715751357,ergo/2,10,0.6443298969072164,cantvari/n,11,0.6455399061032864,dies,11,0.6622516556291391,saepe,7,0.5083514887436456,nihil,12,0.7643312101910829
conversatio,7,0.4697986577181208,tantvs,8,0.5259697567389875,ago,10,0.6680026720106881,cvra,7,0.47978067169294036,sacramentvm,9,0.5431502715751357,dominvs,10,0.6443298969072164,vita,11,0.6455399061032864,dominvs,11,0.6622516556291391,nvllvs,7,0.5083514887436456,lingva,11,0.7006369426751593
paenitentia,7,0.4697986577181208,idolvm,7,0.46022353714661407,advenio,10,0.6680026720106881,doceo,7,0.47978067169294036,oswald/n1,9,0.5431502715751357,verbvm,9,0.5798969072164949,ago,11,0.6455399061032864,dvco,11,0.6622516556291391,valeo,7,0.5083514887436456,aio,11,0.7006369426751593
verbvm,6,0.4026845637583893,homo,7,0.46022353714661407,propter/2,10,0.6680026720106881,habeo,7,0.47978067169294036,vir,8,0.48280024140012073,simvl/1,9,0.5798969072164949,mitto,11,0.6455399061032864,mater,11,0.6622516556291391,nox,7,0.5083514887436456,pater,10,0.6369426751592357
certvs,6,0.4026845637583893,seqvor,7,0.46022353714661407,perficio,10,0.6680026720106881,mevs,7,0.47978067169294036,devs,8,0.48280024140012073,video,9,0.5798969072164949,ivbeo,11,0.6455399061032864,venio,10,0.6020469596628537,contra/2,7,0.5083514887436456,respondeo,10,0.6369426751592357
pono,6,0.4026845637583893,malvs/3,7,0.46022353714661407,svscipio,9,0.6012024048096193,totvs,7,0.47978067169294036,locvs,8,0.48280024140012073,videlicet,9,0.5798969072164949,teneo,11,0.6455399061032864,lvx,10,0.6020469596628537,peto,7,0.5083514887436456,vivo,10,0.6369426751592357
nox,6,0.4026845637583893,hostis,7,0.46022353714661407,ibi,8,0.5344021376085505,tantvs,7,0.47978067169294036,nomen,8,0.48280024140012073,terra,9,0.5798969072164949,theodore/n1,10,0.5868544600938966,ivxta/1,9,0.5418422636965683,do,7,0.5083514887436456,regnvm,10,0.6369426751592357
adhvc,6,0.4026845637583893,video,6,0.39447731755424065,vita,8,0.5344021376085505,historia,6,0.411240575736806,voco,8,0.48280024140012073,nomen,8,0.5154639175257731,pars,10,0.5868544600938966,nox,9,0.5418422636965683,videlicet,6,0.4357298474945534,ivbeo,10,0.6369426751592357
intro/1,6,0.4026845637583893,fides/2,6,0.39447731755424065,do,8,0.5344021376085505,coepio,6,0.411240575736806,dies,8,0.48280024140012073,religio,8,0.5154639175257731,dominvs,10,0.5868544600938966,contingo/1,9,0.5418422636965683,pervenio,6,0.4357298474945534,revereor,9,0.5732484076433121
iste,6,0.4026845637583893,respondeo,6,0.39447731755424065,cavsa,8,0.5344021376085505,aeternvs,6,0.411240575736806,christianvs/2,8,0.48280024140012073,ibidem,8,0.5154639175257731,desidero,8,0.4694835680751174,disciplina,9,0.5418422636965683,fons,6,0.4357298474945534,vervs,8,0.5095541401273885
morior,6,0.4026845637583893,do,6,0.39447731755424065,sollicitvs,7,0.46760187040748163,dvm/2,6,0.411240575736806,praesvm/1,7,0.4224502112251056,spiritvs,8,0.5154639175257731,ministerivm,8,0.4694835680751174,prior,8,0.481637567730283,hibernia/n,6,0.4357298474945534,nosco,8,0.5095541401273885
dvm/2,6,0.4026845637583893,talis,6,0.39447731755424065,ardeo,7,0.46760187040748163,vrbs,6,0.411240575736806,gratia,7,0.4224502112251056,provincia,7,0.4510309278350515,recipio,8,0.4694835680751174,invenio,8,0.481637567730283,christianvs/2,6,0.4357298474945534,advenio,8,0.5095541401273885
ocvlvs,6,0.4026845637583893,praedico/3,6,0.39447731755424065,adhvc,7,0.46760187040748163,exemplvm,6,0.411240575736806,vita,7,0.4224502112251056,do,7,0.4510309278350515,adeo/1,8,0.4694835680751174,habeo,8,0.481637567730283,virtvs,6,0.4357298474945534,dignvs,7,0.445859872611465
alter,6,0.4026845637583893,doctrina,6,0.39447731755424065,maneo,7,0.46760187040748163,ecclesiasticvs,5,0.3427004797806717,religio,7,0.4224502112251056,hodie,7,0.4510309278350515,imperivm,8,0.4694835680751174,accipio,8,0.481637567730283,sanctvs,5,0.36310820624546114,omnis,7,0.445859872611465
statim,6,0.4026845637583893,nihil,6,0.39447731755424065,sermo,7,0.46760187040748163,maxime,5,0.3427004797806717,seqvor,7,0.4224502112251056,donec,7,0.4510309278350515,transeo/1,8,0.4694835680751174,caelestis,8,0.481637567730283,vir,5,0.36310820624546114,traditio,7,0.445859872611465
ivvenis/2,6,0.4026845637583893,pavlinvs/n1,6,0.39447731755424065,homo,7,0.46760187040748163,rego,5,0.3427004797806717,filia,7,0.4224502112251056,praedico/3,7,0.4510309278350515,eo/1,8,0.4694835680751174,dvm/2,8,0.481637567730283,nomen,5,0.36310820624546114,nomen,7,0.445859872611465
exeo/1,6,0.4026845637583893,oracvlvm,6,0.39447731755424065,sepelio,7,0.46760187040748163,divinvs/2,5,0.3427004797806717,regno,7,0.4224502112251056,nihil,7,0.4510309278350515,monachvs,8,0.4694835680751174,semper,8,0.481637567730283,civitas,5,0.36310820624546114,ergo/2,7,0.445859872611465
ascendo,6,0.4026845637583893,raedwald/n1,6,0.39447731755424065,devenio,7,0.46760187040748163,salvs,5,0.3427004797806717,villa,7,0.4224502112251056,rogo,7,0.4510309278350515,prior,7,0.41079812206572774,narro,8,0.481637567730283,soleo,5,0.36310820624546114,coepio,7,0.445859872611465
desidero,5,0.33557046979865773,nvnc,5,0.3287310979618672,cvra,6,0.4008016032064128,avctor,5,0.3427004797806717,romanvs/a,6,0.3621001810500905,vaco,7,0.4510309278350515,revereor,7,0.41079812206572774,nvper,7,0.4214328717639976,ivxta/1,5,0.36310820624546114,servo,7,0.445859872611465
lego/2,5,0.33557046979865773,simvl/1,5,0.3287310979618672,video,6,0.4008016032064128,cvro,5,0.3427004797806717,magnvs,6,0.3621001810500905,canto,7,0.4510309278350515,videlicet,7,0.41079812206572774,nvnc,7,0.4214328717639976,aestas,5,0.36310820624546114,vocabvlvm,7,0.445859872611465
religiosvs,5,0.33557046979865773,nvllvs,5,0.3287310979618672,accipio,6,0.4008016032064128,papa,5,0.3427004797806717,dvx,6,0.3621001810500905,abbatissa,7,0.4510309278350515,frater,7,0.41079812206572774,religiosvs,7,0.4214328717639976,longe,5,0.36310820624546114,sabbatvm,7,0.445859872611465
cognosco,5,0.33557046979865773,valeo,5,0.3287310979618672,intro/1,6,0.4008016032064128,traditio,5,0.3427004797806717,dominvs,6,0.3621001810500905,avdio,6,0.3865979381443299,postqvam,7,0.41079812206572774,memoria,7,0.4214328717639976,hora,5,0.36310820624546114,prior,6,0.3821656050955414
ergo/2,5,0.33557046979865773,advenio,5,0.3287310979618672,peto,6,0.4008016032064128,deniqve,5,0.3427004797806717,regivs,6,0.3621001810500905,lingva,6,0.3865979381443299,appareo,7,0.41079812206572774,ago,7,0.4214328717639976,ergo/2,5,0.36310820624546114,video,6,0.3821656050955414
inqvio,5,0.33557046979865773,hora,5,0.3287310979618672,dvo,6,0.4008016032064128,opvs/1,5,0.3427004797806717,praedico/3,6,0.3621001810500905,servo,6,0.3865979381443299,gesta,6,0.35211267605633806,vivo,7,0.4214328717639976,hodie,5,0.36310820624546114,videlicet,6,0.3821656050955414
tres,5,0.33557046979865773,fero,5,0.3287310979618672,relinqvo,6,0.4008016032064128,sacerdos,5,0.3427004797806717,relinqvo,6,0.3621001810500905,ivbeo,6,0.3865979381443299,dignvs,6,0.35211267605633806,maneo,7,0.4214328717639976,praedico/3,5,0.36310820624546114,veritas,6,0.3821656050955414
hvc,5,0.33557046979865773,intro/1,5,0.3287310979618672,cvnctvs,6,0.4008016032064128,natio/1,5,0.3427004797806717,regina,6,0.3621001810500905,cvnctvs,6,0.3865979381443299,scribo,6,0.35211267605633806,ivbeo,7,0.4214328717639976,rex,4,0.29048656499636893,voco,6,0.3821656050955414
nolo,5,0.33557046979865773,inqvio,5,0.3287310979618672,baptizo,6,0.4008016032064128,advenio,5,0.3427004797806717,hostis,6,0.3621001810500905,seqvor,6,0.3865979381443299,memoria,6,0.35211267605633806,servio,7,0.4214328717639976,tempvs/1,4,0.29048656499636893,ivxta/1,6,0.3821656050955414
honor,5,0.33557046979865773,aeternvs,5,0.3287310979618672,dvco,6,0.4008016032064128,liber/1,5,0.3427004797806717,miles,6,0.3621001810500905,interrogo,6,0.3865979381443299,venerabilis,6,0.35211267605633806,morior,7,0.4214328717639976,vervs,4,0.29048656499636893,contra/2,6,0.3821656050955414
profero,5,0.33557046979865773,praedico/2,5,0.3287310979618672,seqvor,6,0.4008016032064128,sedes,5,0.3427004797806717,habeo,5,0.30175015087507545,nvnc,5,0.3221649484536082,pontifex,6,0.35211267605633806,ostendo,7,0.4214328717639976,devs,4,0.29048656499636893,vester,6,0.3821656050955414
cogito,5,0.33557046979865773,differo,5,0.3287310979618672,interrogo,6,0.4008016032064128,magnvs,5,0.3427004797806717,soleo,5,0.30175015087507545,doceo,5,0.3221649484536082,romanvs/a,6,0.35211267605633806,congregatio,7,0.4214328717639976,invenio,4,0.29048656499636893,oro,6,0.3821656050955414
actvs/3,5,0.33557046979865773,parvvs/2,5,0.3287310979618672,postmodvm,6,0.4008016032064128,cvnctvs,5,0.3427004797806717,nobilis/2,5,0.30175015087507545,pater,5,0.3221649484536082,invenio,6,0.35211267605633806,ecclesia,6,0.3612281757977122,credo,4,0.29048656499636893,svpra/2,6,0.3821656050955414
agmen,5,0.33557046979865773,ostendo,5,0.3287310979618672,refero,5,0.33400133600534404,miracvlvm,5,0.3427004797806717,britanni/n,5,0.30175015087507545,episcopvs,5,0.3221649484536082,reverto,6,0.35211267605633806,affero,6,0.3612281757977122,voco,4,0.29048656499636893,celebratio,6,0.3821656050955414
ianva,5,0.33557046979865773,loqvor,5,0.3287310979618672,pervenio,5,0.33400133600534404,debeo,5,0.3427004797806717,scoti/n,5,0.30175015087507545,siqvis,5,0.3221649484536082,parvvs/2,6,0.35211267605633806,aetas,6,0.3612281757977122,sol,4,0.29048656499636893,nvmqvam,6,0.3821656050955414
svavitas,5,0.33557046979865773,prex,5,0.3287310979618672,longvs,5,0.33400133600534404,pavper,5,0.3427004797806717,promitto,5,0.30175015087507545,nvllvs,5,0.3221649484536082,cavsa,6,0.35211267605633806,fero,6,0.3612281757977122,recipio,4,0.29048656499636893,observatio,6,0.3821656050955414
historia,4,0.2684563758389262,manvs/1,5,0.3287310979618672,soleo,5,0.33400133600534404,desidero,4,0.2741603838245374,caelestis,5,0.30175015087507545,dies,5,0.3221649484536082,filivs,6,0.35211267605633806,devotio,6,0.3612281757977122,serpens,4,0.29048656499636893,regvla,6,0.3821656050955414
prior,4,0.2684563758389262,aethelfrith/n2,5,0.3287310979618672,nobilis/2,5,0.33400133600534404,avdio,4,0.2741603838245374,primo,5,0.30175015087507545,peto,5,0.3221649484536082,svscipio,6,0.35211267605633806,saecvlvm,6,0.3612281757977122,vtpote,4,0.29048656499636893,colvmba,6,0.3821656050955414
noster,4,0.2684563758389262,gladivs,5,0.3287310979618672,magnvs,5,0.33400133600534404,diligens,4,0.2741603838245374,postvlo,5,0.30175015087507545,res,5,0.3221649484536082,regno,6,0.35211267605633806,dolor,6,0.3612281757977122,lingva,4,0.29048656499636893,probo,5,0.3184713375796179
disco,4,0.2684563758389262,virgo,5,0.3287310979618672,res,5,0.33400133600534404,discipvlvs,4,0.2741603838245374,sanctvs,4,0.24140012070006037,oratio,5,0.3221649484536082,abba,5,0.2934272300469483,sepvlcrvm,6,0.3612281757977122,finis,4,0.29048656499636893,verbvm,5,0.3184713375796179
reverto,4,0.2684563758389262,amicvs/1,5,0.3287310979618672,assvm/1,5,0.33400133600534404,romanvs/a,4,0.2741603838245374,refero,4,0.24140012070006037,doctrina,5,0.3221649484536082,institvo,5,0.2934272300469483,pver,6,0.3612281757977122,sedes,4,0.29048656499636893,antistes,5,0.3184713375796179
monasterivm,4,0.2684563758389262,sacro,5,0.3287310979618672,dvm/2,5,0.33400133600534404,pater,4,0.2741603838245374,doceo,4,0.24140012070006037,homo,5,0.3221649484536082,regio,5,0.2934272300469483,virgo,6,0.3612281757977122,tantvs,4,0.29048656499636893,scio,5,0.3184713375796179
ago,4,0.2684563758389262,doceo,4,0.26298487836949375,semper,5,0.33400133600534404,affero,4,0.2741603838245374,venio,4,0.24140012070006037,sacer,5,0.3221649484536082,pater,5,0.2934272300469483,soror,6,0.3612281757977122,dominvs,4,0.29048656499636893,qvaestio,5,0.3184713375796179
libellvs,4,0.2684563758389262,provincia,4,0.26298487836949375,loqvor,5,0.33400133600534404,fidelis/2,4,0.2741603838245374,ibi,4,0.24140012070006037,timor,5,0.3221649484536082,percipio,5,0.2934272300469483,salvs,5,0.30102347983142685,necessarivs/2,4,0.29048656499636893,consto,5,0.3184713375796179
locvs,4,0.2684563758389262,pontifex,4,0.26298487836949375,pecvnia,5,0.33400133600534404,libellvs,4,0.2741603838245374,percipio,4,0.24140012070006037,convivivm,5,0.3221649484536082,memini,5,0.2934272300469483,doceo,5,0.30102347983142685,vexillvm,4,0.29048656499636893,ritvs,5,0.3184713375796179
aetas,4,0.2684563758389262,praefor,4,0.26298487836949375,pavper,5,0.33400133600534404,veritas,4,0.2741603838245374,antistes,4,0.24140012070006037,rex,4,0.25773195876288657,sancio,5,0.2934272300469483,venerabilis,5,0.30102347983142685,vos,4,0.29048656499636893,ieivnivm,5,0.3184713375796179
